【換気】,【001換気】
必要換気量：1人あたり○○m3/h程度,必要換気量：1人あたり30m3/h程度
換気回数：換気量/室容積。住宅居室○○回/h程度、厨房○○～○○回/h程度。,換気回数：換気量/室容積。住宅居室0.5回/h程度、厨房30～60回/h程度。
気流の適度な風速：事務所○○m/s以下。,気流の適度な風速：事務所0.5ｍ/s以下。
"換気方法
①混○○換気（全○○換気）：空気を攪拌しながら換気。普通のやつ。
②置○○換気：空気は混ぜずに、押し出しながら換気。クリーンルーム等。","換気方法
①混合換気（全般換気）：空気を攪拌しながら換気。普通のやつ。
②置換換気：空気は混ぜずに、押し出しながら換気。クリーンルーム等。"
"換気方法
①全○○換気：室内全体の空気を入れ替えるもの
②局○○換気：汚染された空気を拡散する前に排出するもの","換気方法
①全般換気：室内全体の空気を入れ替えるもの
②局所換気：汚染された空気を拡散する前に排出するもの"
"熱交換機の方式
①顕○○交換機：顕熱のみ回収。
②全○○交換器：顕熱+水蒸気などの潜熱（湿度）も回収。","熱交換機の方式
①顕熱交換機：顕熱のみ回収。
②全熱交換器：顕熱+水蒸気などの潜熱（湿度）も回収。"
"空気齢、余命、空気寿命
給気口付近
・空気齢：○○い
・空気余命：○○い
排気口付近
・空気齢：○○い
・空気余命：○○い","空気齢、余命、空気寿命
給気口付近
・空気齢：小さい
・空気余命：長い
排気口付近
・空気齢：長い
・空気余命：短い"
"開口部の風量の計算式
・並列合成：αA=α1A1+α2A2
・直列合成：αA=1/√(1/α1A1)^2+(1/α2A2)^2
α：流量係数、A開口面積","開口部の風量の計算式
・並列合成：αA=α1A1+α2A2
・直列合成：αA=1/√(1/α1A1)^2+(1/α2A2)^2"
風力換気の計算式,風力換気の計算式
温度差換気の計算式,温度差換気の計算式
【002温冷感、熱、結露】,【002温冷感、熱、結露】
"温熱6要素
①温○○
②湿○○
③気○○
④放○○
⑤代○○：met(メット)メットはメタボ（代謝症候群）のメット。成人の体表面積は約○○㎡であり、58W/㎡×1.7㎡＝○○W
⑥着○○：clo(クロ)クローズ（服）のクロです。","・温熱6要素
①温度
②湿度
③気流
④放射
⑤代謝：met(メット)メットはメタボ（代謝症候群）のメット。成人の体表面積は約1.7㎡であり、58W/㎡×1.7㎡＝100W
⑥着衣量：clo(クロ)クローズ（服）のクロです。"
"グローブ温度：
・周囲からの「放○○」と「対○○（気○○+風○○）」による平衡温度を測定するもの。
・黒塗りの銅球に温度計を差し込んで測った温度","グローブ温度：
・周囲からの「放射」と「対流（気温+風速）」による平衡温度を測定するもの。
・黒塗りの銅球に温度計を差し込んで測った温度"
"平均放射温度（MRT）：
・壁表面等の平均温度。「放○○」に関する指標。
・グローブ温度から、「対○○（気○○+風○○）」の影響を除いて求める。","平均放射温度（MRT）：
・壁表面等の平均温度。「放射」に関する指標。
・グローブ温度から、「対流（気温+風速）」の影響を除いて求める。"
"作用温度（OT）：
・放○○、気○○、気○○の3要素を総合した温熱指標。
・グ○○温度とほぼ一致。グローブ温度は放射、気温、気流を加味したものなので。
・主に均○○な環境に対する温熱快適指標。（不均質な環境、上下温度分布が大きい環境はNG）","作用温度（OT）：
・放射、気温、気流の3要素を総合した温熱指標。
・グローブ温度とほぼ一致。グローブ温度は放射、気温、気流を加味したものなので。
・主に均一な環境に対する温熱快適指標。（不均質な環境、上下温度分布が大きい環境はNG）"
"ET（有効温度）：
・気○○、湿○○、気○○での温熱指標。
・相対湿度○○％の状態に標準化。
・主に均一な環境に対する温熱快適指標。（不均質な環境、上下温度分布が大きい環境はNG）","ET（有効温度）：
・気温、湿度、気流での温熱指標。
・相対湿度100％の状態に標準化。
・主に均一な環境に対する温熱快適指標。（不均質な環境、上下温度分布が大きい環境はNG）"
"ET*（新有効温度。いーてぃーすたー）：
・気○○、湿○○、気○○での温熱指標。
・相対湿度○○％の状態に標準化。
・主に均一な環境に対する温熱快適指標。（不均質な環境、上下温度分布が大きい環境はNG）","ET*（新有効温度。いーてぃーすたー）：
・気温、湿度、気流での温熱指標。
・相対湿度50％の状態に標準化。
・主に均一な環境に対する温熱快適指標。（不均質な環境、上下温度分布が大きい環境はNG）"
"SET*（標準新有効温度。えすいーてぃーすたー）：
・ET*を、6温熱指標を加味し、標準化した指標。
・湿度：○○%、気流：○○m/s、放射：MRT=室○○、人体の代謝量：○○met、着衣量：○○clo
・主に均一な環境に対する温熱快適指標。（不均質な環境、上下温度分布が大きい環境はNG）","SET*（標準新有効温度。えすいーてぃーすたー）：
・ET*を、6温熱指標を加味し、標準化した指標。
・湿度：50%、気流：0.1m/s、放射：MRT=室温、人体の代謝量：1.0met、着衣量：0.6clo
・主に均一な環境に対する温熱快適指標。（不均質な環境、上下温度分布が大きい環境はNG）"
"PMV（予測平均温冷感申告）：
・温熱6要素を加味した指標。
・-○○～+○○の範囲が推奨値になる。
・PPD（予想不快者率）は、○○%以下が望ましい。
・主に均一な環境に対する温熱快適指標。（不均質な環境、上下温度分布が大きい環境はNG）","PMV（予測平均温冷感申告）：
・温熱6要素を加味した指標。
・-0.5～+0.5の範囲が推奨値になる。
・PPD（予想不快者率）は、10%以下が望ましい。
・主に均一な環境に対する温熱快適指標。（不均質な環境、上下温度分布が大きい環境はNG）"
"不快指数（DI）：
・DI＝○○x（気○○+湿○○温度）+○○
・○○以上：やや暑い 、○○以上：暑くて汗が出る、○○以上：暑くてたまらない","不快指数（DI）：
・DI＝0.72x（気温+湿球温度）+40.6
・75以上：やや暑い 、80以上：暑くて汗が出る、85以上：暑くてたまらない"
"・空気線図
※問題でてたら書く",・空気線図
"熱の移動方法
①熱伝○○：物質を伝わって移動する
②熱対○○：空気や液体等、流体の循環で熱が移動。
③熱放○○：電磁波の形で移動する。","熱の移動方法
①熱伝導：物質を伝わって移動する
②熱対流：空気や液体等、流体の循環で熱が移動。
③熱放射：電磁波の形で移動する。"
"熱伝導率の大きさ
ア○○>コ○○>ガ○○> 水> 石○○>木○○>グ○○>空○○>真○○","熱伝導率の大きさ
アルミ>コンクリート>ガラス> 水> 石膏ボード>木材>グラスウール>空気>真空"
"放射量の伝達
・絶対温度の○○乗に比例する。
・伝搬距離の○○乗に反比例して減衰する。","放射量の伝達
・絶対温度の4乗に比例する。
・伝搬距離の2乗に反比例して減衰する。"
"放射の不均一性の限界
・冷たい壁、窓：○○℃以内
・暖かい天井：○○℃以内","放射の不均一性の限界
・冷たい壁面、窓：10℃以内
・暖かい天井：5℃以内"
"座位の場合の上下温度差
・くるぶし（○○m）、頭(○○m)の温度差は、
○○度以内が望ましい。","座位の場合の上下温度差
・くるぶし（0.1m）、頭(1.1m)の温度差は、
3度以内が望ましい。"
"床暖房の床表面温度の上限
・床暖房の表面温度は、○○度以下が望ましい。（低温やけどを考慮）","床暖房の床表面温度の上限
・床暖房の表面温度は、29度以下が望ましい。（低温やけどを考慮）"
"夜間放射：
夜間放射により建築外表面温度は、外気温度より○○なる。（朝露、夜露の理由）","夜間放射：
これにより建築外表面温度は、外気温度より低くなる。（朝露、夜露の理由）"
■熱貫流,■熱貫流
熱貫流：熱○○・熱○○・熱○○を全部まとめたもの。,熱貫流：熱伝導・熱対流・熱放射を全部まとめたもの。
"熱貫流率：単位面積当たり、温度差1度当たり、1時間当たりの熱○○量。
熱貫流率Kの計算式：K=
電気の並列な抵抗の合成に似ているが、意味は違いそう。
屋外と屋内は、熱対流と熱放射も加味する必要がある（当たり前だけど）。その間は熱伝導だけでOK。
※あとで整理する。","熱貫流率：単位面積当たり、温度差1度当たり、1時間当たりの熱移動量。
熱貫流率Kの計算式：K=
電気の並列な抵抗の合成に似ているが、意味は違いそう。
屋外と屋内は、熱対流と熱放射も加味する必要がある（当たり前だけど）。その間は熱伝導だけでOK。
※あとで整理する。"
熱伝導率の単位：［W/(m・K)］,熱伝導率の単位：［W/(m・K)］
熱伝導抵抗の単位［㎡・K/W］,熱伝導抵抗の単位［㎡・K/W］
"材料が水、湿気を吸収すると熱伝導は下がる/上がる？：
上がる。空気が水に置き換わるため。","材料が水、湿気を吸収すると熱伝導は下がる/上がる？：
上がる。空気が水に置き換わるため。"
中空層は○○～○○mmが最適で、○○～○○mmを超えると断熱効果悪くなる。,中空層は20～30mmが最適で、20～30mmを超えると断熱効果悪くなる。
中空層の空気層側にアルミ箔など反射性が高い材料を張ると、放射熱が減り、熱抵抗が2倍になる。（Low-Eガラスがこれ！！）,中空層の空気層側にアルミ箔など反射性が高い材料を張ると、放射熱が減り、熱抵抗が2倍になる。（Low-Eガラスがこれ！！）
"外皮平均熱貫流率UA値
・UA=KA/A
※総合熱貫流率KAを、外皮表面積Aで割ったもの。","外皮平均熱貫流率UA値
・UA=KA/A
※総合熱貫流率KAを、外皮表面積Aで割ったもの。"
※UA値って微妙な気もする。例えばUA値が高くても、外皮表面積が大きい（複雑な形していると、熱が入ってくる量多くなる）と微妙よね。。。,※UA値って微妙な気もする。例えばUA値が高くても、外皮表面積が大きい（複雑な形していると、熱が入ってくる量多くなる）と微妙よね。。。
"・UA値の数字の大小
数字が小さいほど熱が逃げにくく＝断熱性が高い。1時間あたりの熱量だから。
等級5 → UA値0.6以下、等級6 → UA値0.46以下、等級7 → UA値0.26以下","・UA値の数字の大小
数字が小さいほど熱が逃げにくく＝断熱性が高い。1時間あたりの熱量だから。
等級5 → UA値0.6以下、等級6 → UA値0.46以下、等級7 → UA値0.26以下"
■結露,■結露
湿気伝導率の単位［㎏/(m・s・Pa)］,湿気伝導率の単位［㎏/(m・s・Pa)］
透湿抵抗(湿気伝導抵抗)の単位［㎡・s・Pa/㎏］,透湿抵抗(湿気伝導抵抗)の単位［㎡・s・Pa/㎏］
※問題やって書く,※問題やって書く
【003日照、日射、採光】,【003日照、日射、採光】
・太陽エネルギー,・太陽エネルギー
※問題出たら書く,※問題出たら書く
・日影曲線図、日影図,・日影曲線図、日影図
※問題出たら書く,※問題出たら書く
"日射と日照の違い
・日射：○○効果
・日照：○○効果","日射と日照の違い
・日射：熱効果
・日照：光効果"
"日射量の種類
①直○○量：地上に直接達する日射量（大気圏で散乱・吸収されたもの除く）
②天○○量：大気圏で散乱して、地上に来た日射量
③全○○量：①+②","日射量の種類
①直達日射量：地上に直接達する日射量（大気圏で散乱・吸収されたもの除く）
②天空日射量：大気圏で散乱して、地上に来た日射量
③全天日射量：①+②"
"窓ガラスの日射熱取得率η値(イータ値)： 
（ガラスを透過した日○○量+吸○○放射される熱量）/入○○日射量
0〜1を示す指標。
遮熱型：○○程度。夏に嬉しい。
断熱型：○○以上。冬に嬉しい。","窓ガラスの日射熱取得率η値(イータ値)： 
（ガラスを透過した日射量+吸収再放射される熱量）/入射日射量
0〜1を示す指標。
遮熱型：0.3程度。夏に嬉しい。
断熱型：0.5以上。冬に嬉しい。"
"日射遮蔽係数SC：
・遮○○付ガラスの日○○率/標準○○mmの窓ガラスの日○○率
0〜1を示す指標。
・○○方が日射遮蔽性能が高い
・遮蔽物にはブラインド、カーテン等を含む。","日射遮蔽係数SC：
・遮蔽物付ガラスの日射取得率/標準3mmの窓ガラスの日射取得率
0〜1を示す指標。
・小さい方が日射遮蔽性能が高い
・遮蔽物にはブラインド、カーテン等を含む。"
"壁面と水平面の1m2当たりの日射量
・①○○至の○○面＞②○○至の○○面＞③○○至の○○面＞④○○至の○○面＞⑤○○至の○○面＞⑥○○至の○○面","壁面と水平面の1m2当たりの日射量
・①夏至の水平面＞②冬至の南壁面＞③夏至の東西面＞④冬至の水平面＞⑤夏至の南壁面＞⑥冬至の東西面"
"日射の調整方法
①水○○：夏季の南面日射を遮る効果が高い
②垂○○：西日を遮る効果が高い","日射の調整方法
①水平ルーバー：夏季の南面日射を遮る効果が高い
②垂直ルーバー：西日を遮る効果が高い"
"日照時間：天候や地形の影響を受けて「実○○に日が当たる時間」
可照時間：日の出から日没までの「理○○上日が当たる時間」
日照率：○○時間/○○時間x100","日照時間：天候や地形の影響を受けて「実○○に日が当たる時間」
可照時間：日の出から日没までの「理○○上日が当たる時間」
日照率：日照時間/可照時間x100"
"永久日影：
建築物等の影響により1年中まったく日照を受けない部分をいい、
1年のうち最も日照条件の良い○○至にも終日日影となる部分。","永久日影：
建築物等の影響により1年中まったく日照を受けない部分をいい、
1年のうち最も日照条件の良い夏至にも終日日影となる部分。"
"隣棟間隔
○○度が高くなるほど日○○時間が長くなるため、間○○が広くなる。","隣棟間隔
緯度が高くなるほど日影時間が長くなるため、間隔が広くなる。"
"ビル風：
卓越風が当たる面積が大きいほど、風速も○○い。","ビル風：
卓越風が当たる面積が大きいほど、風速も大きい。"
"ビル風：
風速自体（絶対的な風速）：周囲に建築物がない場合が○○い。
風速増加率：周囲に低層建築物がある場合の方が○○い。","ビル風：
風速自体（絶対的な風速）：周囲に建築物がない場合が大きい。
風速増加率：周囲に低層建築物がある場合の方が大きい。"
"ビル風対策：
・ビルの隅を曲面にする
・低層基壇部を設け、強風を低層部の屋上に発生させる
・高木を風向きと直行するように配置","ビル風対策：
・ビルの隅を曲面にする
・低層基壇部を設け、強風を低層部の屋上に発生させる
・高木を風向きと直行するように配置"
【004照明】,【004照明】
"目の構造
・錐体（すいたい）：明るい所で働く。色を感じる。
・桿体（かんたい）：暗い所で働く。色を感じにくい。","目の構造
・錐体（すいたい）：明るい所で働く。色を感じる。
・桿体（かんたい）：暗い所で働く。色を感じにくい。"
"明順応、暗順応

・明順応：順応時間は少なめ。
・暗順応：順応時間は多め。","明順応、暗順応

・明順応：順応時間は少なめ。
・暗順応：順応時間は多め。"
"明所視での比視感度
高いと明るく見える。
・赤：低い
・緑、黄色：高い
・青：低い","明所視での比視感度
高いと明るく見える。
・赤：低い
・緑、黄色：高い
・青：低い"
"プルキンエ現象：
・暗くなると、
み○○・あ○○が明るく、
あ○○が暗く見える現象。
・道路標識や誘導灯には緑・青を使ったものが多い。","プルキンエ現象：
・暗くなると、緑・青が明るく、赤が暗く見える現象。
・道路標識や誘導灯には緑・青を使ったものが多い。"
"可視光線：
約○○nm～○○nm（ナノメートル）","可視光線：
約380nm～780nm（ナノメートル）"
"①光束：
・光のエネルギー量（光を出す側）。単位はlm(ルーメン)
・放射束に対して比○○感度で重みづけし、可視光範囲で積分した量","①光束：
・光のエネルギー量（光を出す側）。単位はlm(ルーメン)
・放射束に対して比視感度で重みづけし、可視光範囲で積分した量"
"②光束発散度：
・面から発する光束（反射分や透過分も含む）。単位はlm/m2。
・照度と単位が同じだが、照度は面に受ける光束。","②光束発散度：
・面から発する光束。単位はlm/m2。"
"③光度：
・点光源の明るさ。単位はcd（カンデラ）。","③光度：
・点光源の明るさ。単位はcd（カンデラ）。"
"④輝度：
面光源の明るさ（反射分や透過分も含む）。単位はcd/㎡。","④輝度：
面光源の明るさ（反射分や透過分も含む）。単位はcd/㎡。"
"⑤照度：
入射光束（光を受ける側）。単位はlx(ルクス。lm/m2)。","⑤照度：
入射光束（光を受ける側）。単位はlx(ルクス。lm/m2)。"
"平均照度を照度の求め方：
①部屋の照明器具の光束(lm)の合計を算出
②合計光束(lm)に照明率（0.65等）、保守率（0.7等）を掛ける
③室の床面積で割る","平均照度を照度の求め方：
①部屋の照明器具の光束(lm)の合計を算出
②合計光束(lm)に照明率（0.65等）、保守率（0.7等）を掛ける
③室の床面積で割る"
"点光源からの照度の求め方：
照度(lx)=光度(cd)/距離^○○
距離が2倍になると照度は1/4になる。","点光源からの照度の求め方：
照度(lx)=光度(cd)/距離^2
距離が2倍になると照度は1/4になる。"
"光源の種類
・
・HID（ 高輝度放電 ）ランプは、金属蒸気中の放電発光を利用した光源であり、高圧水銀ランプ、メタルハライドランプ及び高圧ナトリウムランプを総称したもの",光源の種類
※問題に出たら書く,※問題に出たら書く
"全天空照度：周囲に障害物のない屋外での、天空光による水平面照度。
最も全天空照度が高いのは：薄曇り日。約50,000lx。
普通の日の全天空照度：約15,000lx。
快晴日の全天空照度：薄曇り日の1/5程度。約10,000lx。","全天空照度：周囲に障害物のない屋外での、天空光による水平面照度。
最も全天空照度が高いのは：薄曇り日。約50,000lx。
普通の日の全天空照度：約15,000lx。
快晴日の全天空照度：薄曇り日の1/5程度。約10,000lx。"
"CIE（国際照明委員会）標準曇天空
・昼○○率を算出する時に利用する。
・厚い雲に覆われ太陽位置が不明な状態の標準的な輝度分布。
・天頂に対する相対的な輝度分布は、方位にかかわらず、高○○のみにより決まる。
（天頂ほど○○、地面に近いほど○○）","CIE（国際照明委員会）標準曇天空
・昼光率を算出する時に利用する。
・厚い雲に覆われ太陽位置が不明な状態の標準的な輝度分布。
・天頂に対する相対的な輝度分布は、方位にかかわらず、高度のみにより決まる。
（天頂ほど明るく、地面に近いほど暗い）"
"昼光率：
・昼光率(%)=室内の照度/全天空照度x100。
・昼光率高いほど日光を活かした設計。
・用途別昼光率の目安
長時間の精密作業：5%
教室：2%程度","昼光率：
・昼光率(%)=室内の照度/全天空照度x100。
・昼光率高いほど日光を活かした設計。
・用途別昼光率の目安
長時間の精密作業：5%
教室：2%程度"
"均斉度：
室内の最○○照度/室内の平○○照度。照度のばらつき。
当たり前だけど、部屋の奥行が増えたら、光が届かなくなるから、均斉度は低い。
高窓にすると光が奥にも届きやすくなるので、均斉度は上がる。","均斉度：
室内の最小照度/室内の平均照度。照度のばらつき。
当たり前だけど、部屋の奥行が増えたら、光が届かなくなるから、均斉度は低い。
高窓にすると光が奥にも届きやすくなるので、均斉度は上がる。"
"片側採光、タスク・アンビエント照明
は､ともに均斉度を1/○○以上とすることが望ましい。","片側採光、タスク・アンビエント照明
は､ともに均斉度を1/10以上とすることが望ましい。"
■照明,■照明
"色温度：
赤：色温度が○○
青：色温度が○○
色温度は炎の温度と同じイメージ。","色温度：
赤：色温度が低い
青：色温度が高い
色温度は炎の温度と同じイメージ。"
"演色性：
色の再現度が太陽光に近いかどうか。
手○○室の照明は、○○演色性とする。
美○○品の照明は、○○演色性とする。","演色性：
色の再現度が太陽光に近いかどうか。
手術室の照明は、高演色性とする。
美術品の照明は、高演色性とする。"
"平均演色評価数（Ra）：
太陽光などの自然光を基準（○○）とし、照明が物質の色彩をどれだけ忠実に再現できるかを表す指標","平均演色評価数（Ra）：
太陽光などの自然光を基準（100）とし、照明が物質の色彩をどれだけ忠実に再現できるかを表す指標"
"保守率：
経○○劣化等による照明器具の効率○○下をあらわす指標","保守率：
経年劣化等による照明器具の効率低下をあらわす指標"
"初期照度補正：
照明の使用初期段階は、設○○照度より明るいので（経年劣化がないため）
余分な明るさを調光する省エネ技術","初期照度補正：
照明の使用初期段階は、設計照度より明るいので（経年劣化がないため）
余分な明るさを調光する省エネ技術"
"配光曲線：
光源から出る光○○の分布を示した曲線。","配光曲線：
光源から出る光度の分布を示した曲線。"
"照明率：
光源から出る光束のうち、作○○面に入る光束の割合。","照明率：
光源から出る光束のうち、作業面に入る光束の割合。"
"器具効率：
照明器具から出てくる光束と、光○○の光束の比
1.0が最高効率。","器具効率：
照明器具から出てくる光束と、光源の光束の比
1.0が最高効率。"
"室指数：
部屋の形状（間口・奥行・天井の高さ）が、
照明の効率に与える影響を示す指標。
数値が○○ほど良い。
天井が○○ほど、○○なる。
部屋が正方形に○○ほど、○○なる。","室指数：
部屋の形状（間口・奥行・天井の高さ）が、
照明の効率に与える影響を示す指標。
数値が高いほど良い。
天井が低いほど、高くなる。
部屋が正方形に近いほど、高くなる。"
"・室と照度の対応表
労働安全衛生基準（事務所則第10条）※最低基準。
一般的な事務作業：○○lx
付随的な事務作業：○○lx
JIS照明基準総則※推奨、目安の基準
スーパーマーケットの売り場：○○lx
手術室：○○lx
事務所：○○lx
事務所の受付：○○lx
廊下：○○lx
などなど。
※公共標仕にもあるはずだから、調べて書く。
参考。https://www.endo-lighting.co.jp/hikariiku/knowledge/14379/","・室と照度の対応表
労働安全衛生基準（事務所則第10条）※最低基準。
一般的な事務作業：300lx
付随的な事務作業：150lx
JIS照明基準総則※推奨、目安の基準
スーパーマーケットの売り場：1000lx
手術室：1000lx
事務所：750lx
事務所の受付：300lx
廊下：100lx
などなど。
※公共標仕にもあるはずだから、調べて書く。
参考。https://www.endo-lighting.co.jp/hikariiku/knowledge/14379/"
"光幕反射：
・光沢のある紙○○に光が当たると、光の反射により、
・文字等と紙面の輝度比が○○なり、見づらくなる現象","光幕反射：
・光沢のある紙面に光が当たると、光の反射により、
・文字等と紙面の輝度比が小さくなり、見づらくなる現象"
【005色彩】,【005色彩】
"色の三属性
①色○○（ヒュー）
②明○○（バリュー）
③彩○○（クロマ）","色の三属性
①色相（ヒュー）
②明度（バリュー）
③彩度（クロマ）"
"・色○○：明○○と彩○○の組み合わせによる決まる、色の調子（トーン）。
・色○○：色○○と彩○○を数量的に表示したもの。","・色調：明度と彩度の組み合わせによる決まる、色の調子（トーン）。
・色度：色相と彩度を数量的に表示したもの。"
■表色系の種類,■表色系の種類
"マンセル表色系：
・物○○色を表記するのに用いる。
・色相、明度、彩度で色○○体を作る
・色相（ヒュー）：○○色相を感覚的に等間隔配置（感覚量）
・明度（バリュー）：○○段階（0：○○～11：○○）に区分。
・彩度（クロマ）：色毎に段階が異なる。中心(0)：無○○～外周側：高○○
・マンセル表色系で、向き合った色は、○○色の関係。","マンセル表色系：
・物体色を表記するのに用いる。
・色相、明度、彩度で色立体を作る
・色相（ヒュー）：10色相を感覚的に等間隔配置（感覚量）
・明度（バリュー）：11段階（0：黒～11：白）に区分。
・彩度（クロマ）：色毎に段階が異なる。中心(0)：無彩色～外周側：高彩度
・マンセル表色系で、向き合った色は、補色の関係。"
"XYZ表色系：
・一般に○○の色を表記するのに用いる。
・XYZの順番は、R○○の順番と対応。Xが大きいと○○、Yが大きいと○○、原点に近いと○○
・外周に近いほど純○○（単○○色）になる。
・中心部は白色。外周に近づくほど彩○○が高くなる。","XYZ表色系：
・一般に光の色を表記するのに用いる。
・XYZの順番は、RGBの順番と対応。Xが大きいと赤、Yが大きいと緑、原点に近いと青
・外周に近いほど純色（単光色）になる。
・中心部は白色。外周に近づくほど彩度が高くなる。"
"加法混色
・光の混色。光は混ぜると白くなる。（明○○が加算される）
・三原色は「○○・○○・○○」","加法混色
・光の混色。光は混ぜると白くなる。（明度が加算される）
・三原色は「赤(R)・緑(G)・青(B)」"
"減法混色
・絵具の混色。絵具は混ぜると黒くなる。（明○○が減る）
・三原色は「○○・○○・○○」","減法混色
・絵具の混色。絵具は混ぜると黒くなる。（明度が減る）
・三原色は「シアン(C)・マゼンタ(M)・イエロー(Y)」"
"JISの物体における有彩色の系統色名
・「有彩色の明度・彩度に関する修○○語」+「色相に関する修○○語」+「基本○○名」を付けて示します。
・例：セピアは、「ごく暗い」+「赤みの」+「黄」になる。","JISの物体における有彩色の系統色名
・「有彩色の明度・彩度に関する修飾語」+「色相に関する修飾語」+「基本色名」を付けて示します。
・例：セピアは、「ごく暗い」+「赤みの」+「黄」になる。"
■光、色の心理的効果,■光、色の心理的効果
"色の同化と対比
・同化：囲まれた色が、周囲の色に○○見える現象
・対比：囲まれた色が、周囲の色と相○○が強調されて見える現象","色の同化と対比
・同化：囲まれた色が、周囲の色に近づいて見える現象
・対比：囲まれた色が、周囲の色と相違が強調されて見える現象"
"記憶色：
・人が記憶した色は、明度、彩度が○○なる
・人が記憶した色は、○○しく感じる方向に変化する傾向がある","記憶色：
・人が記憶した色は、明度、彩度が高くなる
・人が記憶した色は、好ましく感じる方向に変化する傾向がある"
"色の面積効果：
・明るい色はより○○感じる
・暗い色はより○○感じる","色の面積効果：
・明るい色はより明るく感じる
・暗い色はより暗く感じる"
"視認性：
対象とするものがはっきり見えるか否かという特性。
視対象と背景の色との明○○差が大きいほど視認性が高い。","視認性：
対象とするものがはっきり見えるか否かという特性。
視対象と背景の色との明度差が大きいほど視認性が高い。"
"誘目性：
・彩○○の高い色は誘目性が高い。
・誘目性は高い順に、○○、○○、○○。","誘目性：
・彩度の高い色は誘目性が高い。
・誘目性は高い順に、赤、青、緑。"
